Bird	Type	Vent	O2	CO2
1	0	-49	19	0
2	0	0	19	0
3	0	-98	19	0
4	0	148	19	0
5	0	49	19	0
6	0	49	19	0
7	0	-24	19	3
8	0	25	19	3
9	0	-123	19	3
10	0	222	19	3
11	0	123	19	3
12	0	74	19	3
13	0	11	19	4.5
14	0	60	19	4.5
15	0	-88	19	4.5
16	0	306	19	4.5
17	0	158	19	4.5
18	0	158	19	4.5
19	0	56	19	6
20	0	105	19	6
21	0	-141	19	6
22	0	400	19	6
23	0	253	19	6
24	0	203	19	6
25	0	146	19	9
26	0	244	19	9
27	0	-51	19	9
28	0	687	19	9
29	0	441	19	9
30	0	392	19	9
31	0	61	17	0
32	0	61	17	0
33	0	160	17	0
34	0	12	17	0
35	0	-86	17	0
36	0	-37	17	0
37	0	-11	17	3
38	0	136	17	3
39	0	-110	17	3
40	0	235	17	3
41	0	87	17	3
42	0	38	17	3
43	0	169	17	4.5
44	0	317	17	4.5
45	0	22	17	4.5
46	0	71	17	4.5
47	0	169	17	4.5
48	0	-77	17	4.5
49	0	413	17	6
50	0	-128	17	6
51	0	266	17	6
52	0	118	17	6
53	0	69	17	6
54	0	216	17	6
55	0	-46	17	9
56	0	446	17	9
57	0	397	17	9
58	0	249	17	9
59	0	692	17	9
60	0	151	17	9
61	0	73	15	0
62	0	-74	15	0
63	0	172	15	0
64	0	-25	15	0
65	0	73	15	0
66	0	24	15	0
67	0	-98	15	3
68	0	148	15	3
69	0	99	15	3
70	0	247	15	3
71	0	50	15	3
72	0	1	15	3
73	0	180	15	4.5
74	0	180	15	4.5
75	0	33	15	4.5
76	0	-66	15	4.5
77	0	82	15	4.5
78	0	328	15	4.5
79	0	574	15	6
80	0	131	15	6
81	0	328	15	6
82	0	279	15	6
83	0	33	15	6
84	0	-164	15	6
85	0	8	15	9
86	0	205	15	9
87	0	549	15	9
88	0	254	15	9
89	0	402	15	9
90	0	352	15	9
91	0	183	13	0
92	0	-63	13	0
93	0	-14	13	0
94	0	84	13	0
95	0	84	13	0
96	0	35	13	0
97	0	14	13	3
98	0	-85	13	3
99	0	63	13	3
100	0	112	13	3
101	0	161	13	3
102	0	260	13	3
103	0	192	13	4.5
104	0	-54	13	4.5
105	0	192	13	4.5
106	0	340	13	4.5
107	0	45	13	4.5
108	0	94	13	4.5
109	0	439	13	6
110	0	95	13	6
111	0	-102	13	6
112	0	292	13	6
113	0	242	13	6
114	0	144	13	6
115	0	701	13	9
116	0	406	13	9
117	0	258	13	9
118	0	160	13	9
119	0	455	13	9
120	0	-37	13	9
121	1	-99	19	0
122	1	-35	19	0
123	1	207	19	0
124	1	-130	19	0
125	1	-130	19	0
126	1	250	19	0
127	1	-34	19	3
128	1	-202	19	3
129	1	-310	19	3
130	1	-34	19	3
131	1	-11	19	3
132	1	186	19	3
133	1	256	19	4.5
134	1	-20	19	4.5
135	1	227	19	4.5
136	1	331	19	4.5
137	1	56	19	4.5
138	1	232	19	4.5
139	1	220	19	6
140	1	15	19	6
141	1	272	19	6
142	1	235	19	6
143	1	505	19	6
144	1	65	19	6
145	1	124	19	9
146	1	76	19	9
147	1	536	19	9
148	1	346	19	9
149	1	313	19	9
150	1	5	19	9
151	1	118	17	0
152	1	-193	17	0
153	1	150	17	0
154	1	251	17	0
155	1	150	17	0
156	1	-68	17	0
157	1	105	17	3
158	1	155	17	3
159	1	158	17	3
160	1	85	17	3
161	1	314	17	3
162	1	-263	17	3
163	1	-3	17	4.5
164	1	-41	17	4.5
165	1	140	17	4.5
166	1	54	17	4.5
167	1	427	17	4.5
168	1	70	17	4.5
169	1	171	17	6
170	1	347	17	6
171	1	118	17	6
172	1	5	17	6
173	1	152	17	6
174	1	387	17	6
175	1	213	17	9
176	1	244	17	9
177	1	272	17	9
178	1	599	17	9
179	1	-81	17	9
180	1	78	17	9
181	1	-119	15	0
182	1	0	15	0
183	1	0	15	0
184	1	-112	15	0
185	1	-102	15	0
186	1	151	15	0
187	1	414	15	3
188	1	-42	15	3
189	1	114	15	3
190	1	58	15	3
191	1	200	15	3
192	1	419	15	3
193	1	215	15	4.5
194	1	44	15	4.5
195	1	101	15	4.5
196	1	-45	15	4.5
197	1	315	15	4.5
198	1	-1	15	4.5
199	1	195	15	6
200	1	-35	15	6
201	1	187	15	6
202	1	344	15	6
203	1	446	15	6
204	1	265	15	6
205	1	485	15	9
206	1	242	15	9
207	1	477	15	9
208	1	-15	15	9
209	1	492	15	9
210	1	113	15	9
211	1	41	13	0
212	1	144	13	0
213	1	-168	13	0
214	1	95	13	0
215	1	-11	13	0
216	1	-1	13	0
217	1	49	13	3
218	1	99	13	3
219	1	118	13	3
220	1	46	13	3
221	1	117	13	3
222	1	33	13	3
223	1	-173	13	4.5
224	1	-15	13	4.5
225	1	244	13	4.5
226	1	120	13	4.5
227	1	430	13	4.5
228	1	377	13	4.5
229	1	572	13	6
230	1	60	13	6
231	1	176	13	6
232	1	102	13	6
233	1	64	13	6
234	1	468	13	6
235	1	381	13	9
236	1	674	13	9
237	1	544	13	9
238	1	33	13	9
239	1	535	13	9
240	1	535	13	9
