ID	MarketShare	Price	Discount	Promo	P1	P2	Month	Year
1	3.15	2.198	1	both	0	1	Sep	1999
2	2.52	2.186	0	nodisc	0	0	Oct	1999
3	2.64	2.293	1	both	0	1	Nov	1999
4	2.55	2.42	0	nodisc	0	0	Dec	1999
5	2.69	2.179	1	onlydisc	1	0	Jan	2000
6	2.38	2.207	0	nodisc	0	0	Feb	2000
7	3.02	2.127	1	both	0	1	Mar	2000
8	2.52	2.206	1	onlydisc	1	0	Apr	2000
9	2.45	2.305	0	nodisc	0	0	May	2000
10	2.42	2.26	0	nodisc	0	0	Jun	2000
11	3.16	2.205	1	both	0	1	Jul	2000
12	2.6	2.34	0	nodisc	0	0	Aug	2000
13	2.98	2.171	1	onlydisc	1	0	Sep	2000
14	2.5	2.201	0	nodisc	0	0	Oct	2000
15	2.45	2.248	0	nodisc	0	0	Nov	2000
16	3.06	2.184	1	both	0	1	Dec	2000
17	2.34	2.373	0	nodisc	0	0	Jan	2001
18	2.88	2.157	1	both	0	1	Feb	2001
19	2.94	2.129	1	both	0	1	Mar	2001
20	2.72	2.557	1	onlydisc	1	0	Apr	2001
21	2.27	2.587	0	nodisc	0	0	May	2001
22	2.33	2.255	0	nodisc	0	0	Jun	2001
23	2.64	2.124	1	onlydisc	1	0	Jul	2001
24	2.76	2.683	1	both	0	1	Aug	2001
25	3.05	2.336	1	both	0	1	Sep	2001
26	2.48	2.266	0	nodisc	0	0	Oct	2001
27	2.23	2.443	0	nodisc	0	0	Nov	2001
28	2.65	2.478	1	both	0	1	Dec	2001
29	2.56	2.394	1	onlydisc	1	0	Jan	2002
30	2.66	2.414	1	both	0	1	Feb	2002
31	2.99	2.233	1	onlydisc	1	0	Mar	2002
32	2.3	2.302	0	nodisc	0	0	Apr	2002
33	2.88	2.421	1	both	0	1	May	2002
34	2.8	2.518	1	onlydisc	1	0	Jun	2002
35	2.48	2.497	0	nodisc	0	0	Jul	2002
36	2.85	2.781	1	both	0	1	Aug	2002
