Sex	Height	HandSpan
Female	68	21.5
Male	71	23.5
Male	73	22.5
Female	64	18
Male	68	23.5
Female	59	20
Male	73	23
Male	75	24.5
Female	65	21
Female	69	20.5
Male	69	20.5
Female	64	18.5
Female	67	21
Female	67	19.5
Male	69	22
Male	73	22
Female	62	20
Male	69	22.5
Female	64	18.5
Male	74	21.5
Male	73	24.5
Female	66	20.5
Male	74	24.5
Male	73	21
Male	69	21
Female	64	18.5
Female	67	18
Female	60	19.5
Male	75	20.5
Female	64	21
Female	67	20
Female	67	20
Female	66	19
Female	62	17
Male	72	22
Male	71	22
Female	61	17.5
Female	63	19
Male	66	19
Male	71	22
Male	71	22
Female	66	18.5
Male	70	20
Female	67	20.5
Male	69	21
Female	67	19.5
Female	68	20
Male	67	21.5
Male	68	22.5
Female	71	20
Male	70	22.5
Male	74	24.5
Female	60	18.5
Female	65	20
Male	72	24
Male	76	23.5
Female	66	21
Female	64.5	19.5
Male	71	20
Male	69	22.5
Female	64	20
Female	65	20
Male	74	24
Male	68	21
Female	68	21.5
Female	69	18.5
Female	68	23
Male	67	23
Female	61.5	20.5
Female	63	16.5
Female	67	19.5
Male	71	23
Male	73	22.5
Female	63	18.5
Female	61	18.5
Male	67	21.5
Male	72	20.5
Male	72	20.5
Female	68	20
Female	66	21
Male	67	21.5
Female	67	20.5
Male	72	20.5
Male	67.5	21
Female	63.75	21.5
Female	72	21.5
Male	69	22.5
Female	68	21
Male	71	21
Male	71	22
Female	63	19
Male	70	23
Female	68	20.5
Female	67.5	20.5
Male	75	21
Male	74	24
Male	71	22
Male	71	21
Female	64	19.5
Male	71	21
Female	69	19.5
Female	65	19
Male	69	23
Female	63	20.5
Male	70	24
Male	71	22
Female	64	20
Female	63	21.5
Female	65	19
Female	66	19
Female	66	20
Female	65	19.5
Female	67.5	20
Female	57	16
Male	72	22.5
Female	64	17.5
Female	67	19.5
Female	68	22.5
Female	63	20
Male	67	21.5
Female	66	20.5
Male	72	23.5
Male	74	22
Male	69	18
Female	68	19
Female	65	19.5
Female	64	19
Female	67	20
Male	74	23.5
Male	73	24
Female	64	18.5
Male	76	24.5
Female	68	20
Male	76	23
Female	64.25	22
Male	69	22.5
Male	75	24.5
Female	61.5	17
Male	69	22
Male	67	22
Male	74	24.5
Male	74	24
Female	71	18.5
Male	71	21.5
Female	63	21
Male	67	22
Female	65	20.5
Female	68	19
Female	67	20.5
Male	73	23
Male	78	25.5
Female	62	18.5
Female	70	19
Female	64	19
Female	64	20
Male	72	20.5
Male	74	24
Male	70	22
Male	70	23.5
Female	62	17
Female	64	18.5
Female	66	20
Female	60	17
Male	73	23
Female	66	18.5
Female	68	21
Male	73	21
